,sample
169275,4.5166015625
169276,104.58203125
169277,49.80126953125
169278,18.7431640625
169279,28.037353515625
169280,3.5283203125
169281,82.64697265625
169282,160.27783203125
169283,34.01025390625
169284,1.57666015625
169285,95.294189453125
169286,98.0908203125
169287,5.197509765625
169288,81.329345703125
169289,58.2275390625
169290,97.83203125
169291,226.33837890625
169292,132.783203125
169293,14.51025390625
169294,15.13916015625
169295,131.1103515625
169296,97.033203125
169297,16.0009765625
169298,37.050048828125
169299,6.283203125
169300,137.294189453125
169301,150.2041015625
169302,16.7509765625
169303,24.22705078125
169304,17.877197265625
169305,17.004150390625
169306,3.855712890625
169307,29.494384765625
169308,60.329345703125
169309,23.197509765625
169310,84.314697265625
169311,21.40625
169312,72.59814453125
169313,94.433837890625
169314,14.053955078125
169315,55.35009765625
169316,77.774658203125
169317,174.009765625
169318,124.429931640625
169319,66.58837890625
169320,100.448486328125
169321,31.572265625
169322,108.91064453125
169323,37.139892578125
169324,68.689697265625
169325,67.614501953125
169326,56.648681640625
169327,148.1376953125
169328,116.68017578125
169329,2.21533203125
169330,9.299072265625
169331,7.63330078125
169332,6.40478515625
169333,19.834228515625
169334,23.881103515625
169335,222.69970703125
169336,12.34619140625
169337,80.167236328125
169338,124.21142578125
169339,34.864501953125
169340,78.385009765625
169341,50.863525390625
169342,186.343994140625
169343,66.5087890625
169344,91.459228515625
169345,15.2158203125
169346,112.02587890625
169347,34.884033203125
169348,103.054931640625
169349,167.960205078125
169350,10.89501953125
169351,107.9033203125
169352,68.3720703125
169353,39.937744140625
169354,22.880126953125
169355,9.259033203125
169356,75.055908203125
169357,43.96923828125
169358,28.741455078125
169359,99.284423828125
169360,0.49658203125
169361,97.016845703125
169362,55.322509765625
169363,58.8447265625
169364,18.43603515625
169365,4.1416015625
169366,144.793212890625
169367,148.06103515625
169368,93.908447265625
169369,50.503173828125
169370,151.8173828125
169371,9.133056640625
169372,39.8916015625
169373,115.902587890625
169374,49.769775390625
169375,2.265869140625
169376,89.346923828125
169377,29.35791015625
169378,60.470947265625
169379,124.366455078125
169380,14.776611328125
169381,100.3525390625
169382,133.551025390625
169383,184.177001953125
169384,97.754150390625
169385,23.258056640625
169386,66.876953125
169387,211.895751953125
169388,23.283447265625
169389,81.329345703125
169390,84.64111328125
169391,26.52587890625
169392,14.220703125
169393,54.70703125
169394,35.15087890625
169395,15.826416015625
169396,77.04150390625
169397,1.697509765625
169398,46.3515625
169399,49.8291015625
169400,69.710205078125
169401,0.478759765625
169402,12.43017578125
169403,77.33251953125
169404,0.092041015625
169405,42.261962890625
169406,69.190673828125
169407,22.011962890625
169408,48.767822265625
169409,120.346923828125
169410,144.29931640625
169411,29.744140625
169412,17.33203125
169413,20.2666015625
169414,62.936767578125
169415,155.9423828125
169416,4.555908203125
169417,176.517822265625
169418,7.172119140625
169419,77.0517578125
169420,49.57470703125
169421,101.569580078125
169422,92.103759765625
169423,2.213134765625
169424,33.559814453125
169425,37.390625
169426,82.4814453125
169427,14.881103515625
169428,218.3837890625
169429,13.150390625
169430,113.791015625
169431,13.26220703125
169432,5.416259765625
169433,51.584228515625
169434,123.150634765625
169435,30.469970703125
169436,47.56689453125
169437,146.514892578125
169438,4.1640625
169439,1.867431640625
169440,107.369384765625
169441,37.86376953125
169442,8.812744140625
169443,55.761962890625
169444,60.171142578125
169445,62.56689453125
169446,12.434814453125
169447,106.744384765625
169448,3.2431640625
169449,27.650634765625
169450,14.69189453125
169451,50.831298828125
169452,88.218994140625
169453,17.8876953125
169454,14.293212890625
169455,10.173095703125
169456,14.748291015625
169457,5.081298828125
169458,150.940673828125
169459,100.655517578125
169460,193.759033203125
169461,14.80712890625
169462,190.461181640625
169463,8.448486328125
169464,18.96728515625
169465,19.58251953125
169466,54.54541015625
169467,46.4580078125
169468,12.579345703125
169469,40.046142578125
169470,58.77783203125
169471,121.17431640625
169472,3.314697265625
169473,35.772705078125
169474,20.23486328125
169475,0.67041015625
